distance_cm,ttc,v_rel,voltage,raw_percent,cmd_percent,delta_thr_raw,scenario,accel_detected,brake_detected,accel_latency,misop_flag
22.865,inf,0.036607,2.117,83.3992,83.3992,-53.8315,1,0,0,-1,0
33.269,inf,0.043814,1.87201,34.4029,34.4029,-48.9963,1,1,0,-1.76408e+09,0
45.866,inf,0.0285515,1.82125,24.2491,24.2491,-10.1539,1,1,0,-1.76408e+09,0
48.875,inf,0.00609771,1.76886,13.7729,13.7729,-10.4762,1,1,0,-1.76408e+09,0
48.892,inf,0.000858837,1.69473,0,0,-13.7729,1,0,0,-1,0
48.433,58.7325,-0.0101268,1.69553,0,0,0,1,1,0,-1.76408e+09,0
48.875,inf,-0.0140035,1.70278,0.556779,0.556779,0.556779,1,1,0,-1.76408e+09,0
48.892,inf,-0.0263639,1.69553,0,0,-0.556779,1,1,0,-1.76408e+09,0
48.875,1634.33,-0.0355027,1.69473,0,0,0,1,0,0,-1,0
51.714,inf,-0.0438107,1.69553,0,0,0,1,1,0,-1.76408e+09,0
48.858,9.66249,-0.0535736,1.68586,0,0,0,1,1,0,-1.76408e+09,0
